Player,Rk,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Scottie Barnes,1.0,24.0,PF,52,52,34.5,7.5,14.9,0.503,0.9,3.1,0.306,6.5,11.8,0.555,0.535,3.3,4.1,0.813,2.2,6.2,8.3,5.6,1.3,1.5,2.7,2.8,19.3,
Brandon Ingram,2.0,28.0,SF,51,51,34.2,8.2,17.4,0.472,1.9,5.1,0.368,6.4,12.4,0.515,0.526,3.8,4.6,0.837,0.8,5.0,5.9,3.7,0.8,0.8,2.5,1.9,22.2,
Immanuel Quickley,3.0,26.0,PG,50,50,32.5,5.9,13.4,0.443,2.6,7.0,0.376,3.3,6.4,0.517,0.542,2.6,3.2,0.805,0.6,3.8,4.4,6.1,1.3,0.1,1.7,2.1,17.1,
RJ Barrett,4.0,25.0,SF,29,29,29.4,6.8,14.2,0.479,1.8,5.2,0.338,5.0,9.0,0.562,0.541,3.2,4.6,0.701,0.9,4.3,5.2,3.5,0.8,0.3,1.7,2.4,18.6,
Jakob Poeltl,5.0,30.0,C,21,21,25.3,4.2,6.0,0.693,0.0,0.0,,4.2,6.0,0.693,0.693,1.3,2.2,0.596,2.7,5.0,7.7,2.1,0.8,0.5,1.6,3.1,9.7,
Sandro Mamukelashvili,6.0,26.0,C,51,11,22.7,4.2,8.0,0.527,1.4,3.6,0.384,2.8,4.4,0.644,0.613,1.5,2.0,0.755,1.5,3.5,5.1,2.0,0.8,0.6,0.9,2.0,11.4,
Collin Murray-Boyles,7.0,20.0,PF,42,18,22.5,3.4,6.1,0.551,0.4,1.1,0.348,3.0,5.0,0.595,0.582,0.9,1.5,0.639,2.5,2.6,5.1,2.1,0.9,0.9,1.2,2.6,8.0,
Jamal Shead,8.0,23.0,PG,53,7,22.3,2.4,6.4,0.37,1.1,3.5,0.326,1.2,3.0,0.42,0.457,1.1,1.4,0.76,0.3,1.6,1.9,5.5,1.0,0.2,1.4,2.0,7.0,
Ja'Kobe Walter,9.0,21.0,SG,43,10,18.2,2.2,5.0,0.435,1.1,3.2,0.343,1.1,1.8,0.595,0.544,0.8,1.0,0.8,0.7,1.4,2.1,0.9,0.9,0.1,0.5,2.0,6.3,
Gradey Dick,10.0,22.0,SG,53,1,16.1,2.2,5.3,0.423,0.9,2.8,0.311,1.4,2.5,0.549,0.505,1.1,1.3,0.866,0.6,1.6,2.2,0.7,0.6,0.1,0.5,1.5,6.5,
Ochai Agbaji,11.0,25.0,SG,42,13,15.5,1.7,4.0,0.424,0.3,1.5,0.185,1.4,2.5,0.571,0.459,0.6,0.7,0.862,0.8,1.5,2.3,0.7,0.4,0.3,0.5,1.8,4.3,
A.J. Lawson,12.0,25.0,SG,12,0,8.9,1.3,3.4,0.39,0.7,1.8,0.364,0.7,1.6,0.421,0.488,0.8,0.8,1.0,0.6,1.3,1.8,0.3,0.3,0.3,0.3,1.3,4.1,
Jamison Battle,13.0,24.0,SF,37,2,8.6,1.2,2.4,0.529,0.6,1.4,0.44,0.6,1.0,0.649,0.655,0.2,0.2,0.667,0.3,1.1,1.4,0.4,0.1,0.1,0.4,0.8,3.2,
Alijah Martin,14.0,24.0,SG,11,0,8.1,0.8,2.4,0.346,0.2,1.0,0.182,0.6,1.4,0.467,0.385,0.9,1.1,0.833,0.5,0.5,1.1,0.7,0.5,0.3,0.3,0.8,2.7,
Chucky Hepburn,15.0,22.0,PG,2,0,6.5,0.0,3.0,0.0,0.0,2.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.0,
Jonathan Mogbo,16.0,24.0,PF,22,0,6.3,0.6,1.3,0.5,0.0,0.0,,0.6,1.3,0.5,0.5,0.1,0.2,0.4,0.5,1.1,1.7,0.5,0.2,0.2,0.3,0.6,1.4,
Mo Bamba,17.0,27.0,C,2,0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.0,
Garrett Temple,18.0,39.0,SG,13,0,2.8,0.1,0.5,0.143,0.1,0.4,0.2,0.0,0.2,0.0,0.214,0.1,0.2,0.5,0.0,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.3,
Team Totals,,,,53,53,241.9,42.4,89.5,0.474,11.5,33.5,0.344,30.8,55.9,0.551,0.538,17.7,22.7,0.781,11.3,31.6,42.9,29.5,8.5,4.8,14.0,21.0,114.0,
Tyrese Maxey,1.0,25.0,PG,50,50,38.9,10.1,21.5,0.47,3.4,8.8,0.382,6.7,12.7,0.531,0.548,5.2,5.9,0.888,0.3,3.9,4.2,6.9,2.0,0.8,2.4,2.2,28.8,
VJ Edgecombe,2.0,20.0,SG,48,48,35.5,5.6,13.0,0.428,2.1,5.7,0.363,3.5,7.3,0.479,0.507,1.8,2.3,0.775,1.6,3.8,5.4,4.2,1.5,0.5,1.8,3.1,15.0,
Kelly Oubre Jr.,3.0,30.0,SF,30,25,32.6,5.1,10.7,0.478,1.8,4.9,0.372,3.3,5.8,0.569,0.564,2.0,2.7,0.744,0.9,3.7,4.7,1.5,1.2,0.6,1.2,2.6,14.1,
Joel Embiid,4.0,31.0,C,31,31,31.4,9.0,18.2,0.494,1.3,3.9,0.32,7.7,14.2,0.542,0.528,7.4,8.6,0.858,2.1,5.4,7.5,3.9,0.6,1.1,3.0,2.2,26.6,
Paul George,5.0,35.0,PF,27,27,30.5,5.6,13.1,0.424,2.4,6.4,0.382,3.1,6.7,0.464,0.517,2.4,2.8,0.855,0.5,4.6,5.1,3.7,1.5,0.5,1.6,2.2,16.0,
Quentin Grimes,6.0,25.0,SG,48,7,29.9,4.1,9.4,0.439,1.8,5.3,0.341,2.3,4.0,0.567,0.536,2.7,3.1,0.859,0.6,3.1,3.8,3.6,0.9,0.4,1.9,2.0,12.7,
Dominick Barlow,7.0,22.0,PF,42,35,23.8,3.3,6.0,0.556,0.4,1.5,0.279,2.9,4.5,0.644,0.589,1.4,1.8,0.77,2.3,2.8,5.0,1.2,1.0,0.6,0.8,2.0,8.4,
Andre Drummond,8.0,32.0,C,38,18,19.8,2.7,5.4,0.498,0.5,1.3,0.367,2.2,4.2,0.538,0.541,1.0,1.6,0.629,3.4,5.3,8.8,0.8,0.6,0.9,1.0,2.0,6.9,
Jared McCain,9.0,21.0,SG,37,1,16.8,2.4,6.2,0.385,1.2,3.2,0.378,1.2,3.0,0.393,0.483,0.6,0.7,0.88,0.2,1.9,2.0,1.7,0.6,0.1,0.8,1.2,6.6,
Adem Bona,10.0,22.0,C,43,3,16.2,1.5,2.6,0.58,0.0,0.1,0.4,1.5,2.5,0.589,0.589,1.0,1.5,0.652,1.8,2.2,4.0,0.2,0.3,1.3,0.7,2.1,4.1,
Trendon Watford,11.0,25.0,PF,30,4,16.0,2.4,4.6,0.514,0.3,0.9,0.385,2.0,3.7,0.545,0.551,1.0,1.3,0.725,0.8,2.7,3.5,2.6,0.3,0.3,1.1,2.0,6.0,
Justin Edwards,12.0,22.0,SF,39,5,14.0,1.6,4.1,0.396,0.9,2.7,0.333,0.7,1.4,0.519,0.506,0.4,0.5,0.895,0.4,1.0,1.4,1.1,0.6,0.2,0.6,1.5,4.6,
Eric Gordon,13.0,37.0,SG,6,0,12.3,2.0,3.5,0.571,1.3,2.3,0.571,0.7,1.2,0.571,0.762,0.2,0.3,0.5,0.2,0.2,0.3,0.5,0.7,0.2,0.5,0.5,5.5,
Jabari Walker,14.0,23.0,PF,45,6,12.1,1.3,3.2,0.403,0.4,1.4,0.27,0.9,1.8,0.506,0.462,0.7,1.0,0.727,1.1,1.9,3.1,0.5,0.4,0.2,0.4,1.6,3.7,
Kyle Lowry,15.0,39.0,PG,6,0,7.5,0.3,1.3,0.25,0.3,1.3,0.25,0.0,0.0,,0.375,0.0,0.0,,0.0,0.5,0.5,1.2,0.2,0.0,0.3,0.5,1.0,
Johni Broome,16.0,23.0,C,9,0,4.8,0.4,2.2,0.2,0.0,0.3,0.0,0.4,1.9,0.235,0.2,0.2,0.4,0.5,0.7,0.8,1.4,0.4,0.2,0.0,0.2,0.6,1.1,
Hunter Sallis,17.0,22.0,SG,7,0,3.7,0.4,0.7,0.6,0.0,0.0,,0.4,0.7,0.6,0.6,0.1,0.3,0.5,0.0,0.1,0.1,0.6,0.0,0.1,0.7,0.3,1.0,
Team Totals,,,,52,52,243.8,41.6,90.1,0.461,12.9,35.9,0.359,28.7,54.2,0.529,0.533,20.7,25.4,0.815,12.2,31.4,43.6,24.9,9.0,5.6,13.8,20.3,116.7,
Michael Porter Jr.,1.0,27.0,SF,41,41,33.0,8.8,18.6,0.474,3.7,9.5,0.385,5.2,9.1,0.568,0.573,3.7,4.3,0.853,1.3,5.9,7.2,3.2,1.0,0.2,2.5,2.2,25.0,
Nic Claxton,2.0,26.0,C,49,48,29.2,5.0,8.6,0.582,0.0,0.3,0.154,4.9,8.3,0.596,0.585,2.2,3.6,0.61,2.6,4.7,7.2,4.0,0.7,1.3,1.4,2.3,12.2,
Noah Clowney,3.0,21.0,PF,46,40,28.4,3.9,10.1,0.386,2.0,6.5,0.315,1.9,3.7,0.512,0.487,2.9,3.7,0.798,1.0,3.2,4.2,1.8,0.8,0.8,1.8,2.8,12.8,
Terance Mann,4.0,29.0,SG,44,40,25.3,2.8,6.2,0.454,0.8,2.5,0.336,2.0,3.7,0.534,0.522,1.2,1.4,0.823,1.2,2.1,3.3,3.5,0.8,0.2,1.2,2.5,7.6,
Egor Dёmin,5.0,19.0,PG,45,38,24.8,3.6,8.8,0.407,2.5,6.4,0.395,1.1,2.5,0.438,0.549,1.0,1.2,0.852,0.5,2.6,3.1,3.3,0.8,0.3,1.8,1.8,10.7,
Cam Thomas,6.0,24.0,SG,24,8,24.3,5.1,12.8,0.399,1.6,4.9,0.325,3.5,8.0,0.445,0.461,3.8,4.5,0.843,0.4,1.4,1.8,3.1,0.2,0.1,2.0,1.3,15.6,
Ziaire Williams,7.0,24.0,SF,36,4,22.8,3.0,7.3,0.409,1.6,5.1,0.31,1.4,2.2,0.638,0.517,1.9,2.2,0.859,0.6,1.9,2.5,0.8,1.1,0.5,1.0,2.1,9.4,
Nolan Traoré,8.0,19.0,PG,29,6,20.2,2.4,6.4,0.384,1.0,2.9,0.333,1.5,3.5,0.426,0.459,1.0,1.2,0.8,0.2,1.3,1.5,3.0,0.4,0.3,1.4,1.8,6.8,
Danny Wolf,9.0,21.0,PF,37,7,19.9,3.0,7.4,0.401,1.1,3.5,0.318,1.9,3.9,0.476,0.476,1.1,1.4,0.78,1.1,3.5,4.6,2.0,0.5,0.4,1.0,1.9,8.1,
Drake Powell,10.0,20.0,SG,40,9,19.0,2.1,4.9,0.431,0.7,2.5,0.293,1.4,2.5,0.571,0.505,1.1,1.2,0.894,0.3,1.3,1.6,1.6,0.5,0.2,1.0,1.5,6.0,
Tyrese Martin,11.0,26.0,SG,37,6,18.8,2.7,6.9,0.392,1.4,4.1,0.336,1.3,2.8,0.476,0.492,0.5,0.7,0.731,0.9,2.0,2.9,1.9,0.6,0.1,0.9,0.8,7.3,
Day'Ron Sharpe,12.0,24.0,C,49,3,18.3,3.2,5.2,0.617,0.1,0.6,0.226,3.1,4.6,0.671,0.631,1.8,2.6,0.683,2.7,4.0,6.6,2.3,1.1,0.4,1.6,2.3,8.3,
Ben Saraf,13.0,19.0,SG,20,5,17.7,1.7,5.1,0.327,0.6,2.4,0.255,1.1,2.7,0.389,0.386,1.0,1.3,0.76,0.4,1.3,1.6,2.8,0.8,0.2,1.9,1.3,4.9,
Jalen Wilson,14.0,25.0,PF,33,0,14.5,1.7,4.5,0.38,1.0,2.8,0.362,0.7,1.7,0.411,0.493,1.0,1.3,0.75,0.2,1.3,1.5,0.6,0.3,0.1,0.5,1.3,5.5,
E.J. Liddell,15.0,25.0,PF,10,0,4.9,0.8,1.7,0.471,0.4,1.1,0.364,0.4,0.6,0.667,0.588,0.2,0.3,0.667,0.3,0.8,1.1,0.0,0.1,0.0,0.0,0.4,2.2,
Tyson Etienne,16.0,26.0,PG,8,0,4.3,0.5,1.9,0.267,0.5,1.6,0.308,0.0,0.3,0.0,0.4,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.6,1.5,
Team Totals,,,,51,51,241.5,37.8,85.1,0.444,13.7,40.4,0.341,24.1,44.7,0.538,0.525,18.0,23.1,0.776,11.1,29.4,40.5,25.4,7.5,4.2,15.5,20.2,107.3,
Jaylen Brown,1.0,29.0,SF,47,47,34.3,10.9,22.6,0.485,2.1,6.0,0.357,8.8,16.6,0.531,0.532,5.5,7.1,0.769,1.2,5.8,7.0,4.7,1.0,0.4,3.7,2.8,29.5,
Derrick White,2.0,31.0,SG,50,50,34.3,6.0,15.5,0.388,2.9,8.9,0.324,3.1,6.6,0.476,0.481,2.5,2.8,0.899,1.0,3.4,4.5,5.5,1.2,1.4,1.9,1.7,17.4,
Payton Pritchard,3.0,28.0,PG,51,48,32.7,6.5,14.1,0.462,2.6,7.2,0.359,3.9,6.8,0.57,0.554,1.7,2.0,0.861,0.9,3.3,4.2,5.3,0.7,0.1,1.1,1.5,17.3,
Nikola Vučević,4.0,35.0,C,1,0,28.0,4.0,8.0,0.5,0.0,1.0,0.0,4.0,7.0,0.571,0.5,3.0,4.0,0.75,6.0,6.0,12.0,4.0,2.0,0.0,2.0,1.0,11.0,
Neemias Queta,5.0,26.0,C,49,48,25.3,4.2,6.6,0.637,0.0,0.1,0.0,4.2,6.5,0.647,0.637,1.5,2.3,0.67,3.0,5.4,8.4,1.5,0.9,1.3,1.1,2.9,9.9,
Anfernee Simons,6.0,26.0,SG,49,0,24.5,5.1,11.6,0.44,2.7,6.7,0.395,2.4,4.9,0.502,0.555,1.3,1.5,0.889,0.5,1.9,2.4,2.4,0.6,0.1,1.1,1.7,14.2,
Sam Hauser,7.0,28.0,PF,50,22,24.1,3.1,7.6,0.408,2.6,6.6,0.388,0.6,1.0,0.538,0.576,0.2,0.2,0.917,0.7,3.1,3.8,1.4,0.6,0.3,0.5,1.5,9.0,
Jordan Walsh,8.0,21.0,PF,46,20,18.3,2.0,4.0,0.514,0.7,1.8,0.378,1.4,2.2,0.624,0.598,0.7,1.0,0.773,1.4,2.9,4.3,0.8,0.8,0.5,0.5,2.2,5.5,
Luka Garza,9.0,27.0,C,43,3,16.9,2.9,5.0,0.592,0.7,1.6,0.457,2.2,3.3,0.657,0.667,1.4,1.7,0.787,2.5,1.8,4.3,1.1,0.4,0.5,0.6,2.4,8.0,
Josh Minott,10.0,23.0,PF,33,10,15.9,2.1,4.1,0.507,1.0,2.3,0.442,1.1,1.8,0.593,0.632,0.6,0.8,0.769,1.2,2.4,3.6,1.0,0.7,0.4,0.6,1.5,5.8,
Hugo González,11.0,19.0,SF,47,2,15.4,1.6,3.3,0.471,0.5,1.6,0.342,1.0,1.8,0.583,0.551,0.2,0.4,0.476,0.9,2.5,3.4,0.6,0.6,0.3,0.6,1.8,3.9,
Baylor Scheierman,12.0,25.0,SG,47,6,13.9,1.3,2.8,0.447,0.8,2.1,0.402,0.4,0.7,0.571,0.595,0.2,0.3,0.833,0.4,2.1,2.5,0.9,0.6,0.1,0.4,1.4,3.6,
Chris Boucher,13.0,33.0,PF,9,0,10.4,0.9,2.8,0.32,0.2,1.7,0.133,0.7,1.1,0.6,0.36,0.3,0.4,0.75,0.2,1.8,2.0,0.3,0.6,0.8,0.1,1.9,2.3,
Ron Harper Jr.,14.0,25.0,SF,8,1,8.5,1.1,3.0,0.375,0.8,2.4,0.316,0.4,0.6,0.6,0.5,0.0,0.0,,0.9,1.0,1.9,0.9,0.1,0.4,0.1,0.9,3.0,
Amari Williams,15.0,24.0,PF,13,2,8.2,0.5,1.2,0.467,0.0,0.0,,0.5,1.2,0.467,0.467,0.6,0.9,0.667,0.5,1.6,2.1,0.5,0.2,0.7,0.5,1.1,1.7,
Xavier Tillman Sr.,16.0,27.0,C,14,1,7.9,1.0,2.2,0.452,0.2,1.1,0.2,0.8,1.1,0.688,0.5,0.0,0.0,,0.7,1.1,1.8,0.4,0.4,0.1,0.4,0.6,2.2,
Max Shulga,17.0,23.0,SG,1,0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Team Totals,,,,52,52,241.0,42.7,91.3,0.468,15.5,42.4,0.365,27.2,48.9,0.556,0.553,14.7,18.6,0.791,12.8,32.6,45.4,23.9,7.7,5.3,12.1,20.0,115.6,
